opponent,count,mean,min,max,std,var
ATL,519,13.71290944123314,0,41,9.409826407782544,88.54483302460176
BKN,55,13.327272727272728,1,25,8.470109854232172,71.74276094276094
BOS,946,14.004228329809726,0,56,8.954203475468123,80.1777598800854
CHA,620,14.103225806451613,0,31,8.900581160200543,79.22034498931684
CHI,610,13.678688524590164,0,54,9.1203432862915,83.18066165980244
CLE,619,13.268174474959613,0,61,9.10025809914902,82.81469747112733
DAL,1199,13.309424520433694,0,68,9.485610026863606,89.97679758173537
DEN,1642,13.732034104750305,0,51,9.3982927581492,88.32790676787968
DET,715,13.384615384615385,0,52,9.459128560399838,89.4751131221719
GSW,1356,12.995575221238939,0,59,9.53579287319816,90.93134572053681
HOU,1666,13.362545018007204,0,62,9.079330808677891,82.43424793340753
IND,761,13.752956636005257,0,67,9.75715364068097,95.20204716785392
LAC,1285,13.00544747081712,0,50,9.41675124163372,88.67520394681021
MEM,1030,13.041747572815535,0,60,9.894153374367075,97.89427099549938
MIA,627,13.915470494417862,0,36,8.908885604248791,79.36824270959134
MIL,586,12.848122866894197,0,41,9.535850746619362,90.93244946180104
MIN,1474,13.90841248303935,0,57,9.122781540263444,83.22514303137147
NJN,520,13.423076923076923,0,67,10.017222459991284,100.34474581295383
NOH,581,13.652323580034423,0,50,9.30663179962204,86.61339545373615
NOP,344,15.44767441860465,0,28,8.769656495118594,76.90687504237575
NYK,657,13.706240487062406,0,52,9.187437108960383,84.40900063110233
OKC,677,13.304283604135893,0,79,9.237603045485258,85.33331002595853
ORL,719,13.168289290681502,0,61,8.882131055288772,78.89225208332523
PHI,720,13.619444444444444,0,68,9.32519638349722,86.95928759078964
PHX,1781,13.922515440763616,0,77,9.601068150162208,92.18050962405917
POR,1539,13.562053281351528,0,74,9.872622556616042,97.46867614540388
SAC,1643,12.82288496652465,0,74,9.407652945205246,88.50393393742895
SAS,1978,12.640040444893833,0,71,8.950538757807525,80.11214405501467
SEA,828,13.618357487922705,0,59,9.99234295519325,99.84691773420018
TOR,664,12.96987951807229,0,62,9.374188559382077,87.87541114684981
UTA,1490,13.5751677852349,0,63,9.431954930624594,88.96177381333356
VAN,246,11.55691056910569,0,39,9.742543617081987,94.91715613074496
WAS,600,14.26,0,37,9.022272570546109,81.40140233722869
