shot_distance,minutes_remaining,shot_type,game_date,matchup,opponent,action_type,shot_zone_area,period,shot_made_flag
18,10.27,2,2000-10-31,Visitante,POR,Jump Shot,Right Side,1,0.0
15,10.22,2,2000-10-31,Visitante,POR,Jump Shot,Left Side,1,0.0
16,7.45,2,2000-10-31,Visitante,POR,Jump Shot,Left Side Center,1,1.0
22,6.52,2,2000-10-31,Visitante,POR,Jump Shot,Right Side Center,1,0.0
0,6.19,2,2000-10-31,Visitante,POR,Driving Dunk Shot,Center,2,1.0
14,9.32,2,2000-10-31,Visitante,POR,Jump Shot,Left Side,3,0.0
0,8.52,2,2000-10-31,Visitante,POR,Layup Shot,Center,3,1.0
2,8.5,2,2000-10-31,Visitante,POR,Jump Shot,Center,3,0.0
12,6.12,2,2000-10-31,Visitante,POR,Jump Shot,Left Side,3,1.0
12,3.36,2,2000-10-31,Visitante,POR,Running Jump Shot,Center,3,0.0
25,1.56,3,2000-10-31,Visitante,POR,Jump Shot,Left Side Center,3,0.0
17,11.0,2,2000-11-01,Casa,UTA,Jump Shot,Right Side Center,1,1.0
12,7.9,2,2000-11-01,Casa,UTA,Running Jump Shot,Left Side,1,1.0
9,2.44,2,2000-11-01,Casa,UTA,Jump Shot,Left Side,1,0.0
5,1.16,2,2000-11-01,Casa,UTA,Jump Shot,Center,1,0.0
20,0.48,2,2000-11-01,Casa,UTA,Jump Shot,Center,1,0.0
0,0.1,2,2000-11-01,Casa,UTA,Driving Layup Shot,Center,1,0.0
25,8.5,3,2000-11-01,Casa,UTA,Jump Shot,Left Side Center,2,1.0
16,11.29,2,2000-11-01,Casa,UTA,Jump Shot,Left Side Center,3,0.0
0,10.46,2,2000-11-01,Casa,UTA,Driving Layup Shot,Center,3,0.0
14,10.8,2,2000-11-01,Casa,UTA,Jump Shot,Center,3,0.0
18,9.4,2,2000-11-01,Casa,UTA,Jump Shot,Right Side Center,3,0.0
11,7.57,2,2000-11-01,Casa,UTA,Running Jump Shot,Center,3,1.0
